source,target,type
Poison Shotel,favored weapon of the tragic Embraced Knight,is known as
Poison Shotel,sneak around the defenses of shields,is shaped to
Poison Shotel,ample dexterity to wield effectively,requires
Heavy Dragon Crest Shield,dragon crest,engraved with
Dragon Crest Shield,fire damage,greatly reduces
Dark Edge,a forbidden dark sorcery,is
blade,humanity's darkness,is formed of
blade,mother to daughter,was passed from
blade,script symbolizing dragon blood,engraved with
Big Hat Logan,Homing Soulmass,developed
Life,the soul,originates in
soulmass,the soul,draws toward
Lothric Knights,dragons,contended with
Lothric Knights' shields,high lightning absorption,have
Heavy Lothric Shield,the royal crest,decorated with
swordsman,distinguished guest of High Lord Wolnir,is
swordsman,Deep Black Blade,wielded
swordsman,master of a rare technique,was
Simple Bonewheel Shield,spikes,is encircled by
Simple Bonewheel Shield,a strange skeleton,is half-melded to
Wheel of Fate,enemies,shreds
order of knights,dragon blood,venerate
Greatsword,magic and lightning damage,inflicts
Caressing Tears,ailments for self and vicinity,cures
Morne,Miracle,taught
Morne,goddess Caitha,was a follower of
Poison Bastard Sword,heavy greatsword,is
Broad horizontal sweeping attacks,sword effective against multiple enemies,make
Poison Bandit's Knife,a wide single-edged shortsword,is
Poison Bandit's Knife,lowly thieves and bandits,is a favorite of
blade of Poison Bandit's Knife,bleeding,is crafted to cause
Great scythes,profuse bleeding,inflict
The mistress of the Painted World,a great scythe,is said to wield
Neck Swipe,heavy damage,inflicts
Small shields,little damage absorption or stability,offer
Small shields,lightweight,are
Small shields,ideal instruments for parrying,make
The flagpole,the Lothric crest,carried
The flagpole,the knights,guided
An ethereal war banner,the attack of those who gather under it,invigorates
Gargoyles,Gargoyle Flame Hammer,wield
Gargoyle Flame Hammer,Kindled Flurry,has skill
Profaned Flame,Gargoyle Flame Hammer,imbues
Simple Barbed Sword,Longfinger Kirk,belongs to
blade of Simple Barbed Sword,countless deadly thorns,is lined with
thorns of Simple Barbed Sword,heavy bleeding,induce
Pickaxe,miner,used by
Pickaxe,large boulders,shattered
Pickaxe,weaker armor,punctures
Deep Great Club,branch of a giant tree,fashioned from
Deep Great Club,considerable strength,requires
Painting Guardians,Painting Guardian's Curved Sword,wield
Painting Guardian's Curved Sword,flat tip,has
Chained Dance,Painting Guardian's Curved Sword,is skill of
Fire Pontiff Knight Shield,thinly cold air,is shrouded in
Shield of the Pontiff Knights,Irithyll's Boreal Spirits,belongs to
greatsword,one of the Watchdogs of Farron,wielded by
greatsword,exile's past misdeeds,is a reminder of
Fire Crest Shield,crest,engraved with
Silver Knights,old royal family,served
Silver Knights,humble manor and ruined cathedral,stayed behind to protect
goddess,,left
goddess's blessing,knights' shields,remains upon
Blood Llewellyn Shield,great smith,crafted by
Blood Llewellyn Shield,rare geisteel,fashioned from
Blood Llewellyn Shield,damage absorption,excels at
Fire Whip,"an ancient, primal pyromancy",is
Fire Whip,foes,sweeps
Effective use of Fire Whip,agile footwork,demands
Ghrus,Blessed Ghru Rotshield,scavenged
Blessed Ghru Rotshield,poisonous,is
Blessed Ghru Rotshield,other poisons,is resistant to
Crystal Estoc,piercing through the armor of knights,is used for
sharp edge of the sword's rock-solid blade,slashing attacks,can be used in
Shield Splitter,pierce through enemy shields and inflict damage directly,is used to
